step,episode/return,episode/length,track/luigi_circuit_tt/episode_return,track/luigi_circuit_tt/episode_length,env_steps,grad_steps,replay/capacity,replay/fill_ratio,env/id,reward/checkpoint,reward/offroad,reward/wall,reward/finish,reward/position,reward/total,track_sampler/luigi_circuit_tt/weight
36399,-3.5696697223497487,252,-3.5696697223497487,252,36399,0,36393,0.181965,1,0.13033027765025262,0.0,-3.7000000000000015,0.0,0.0,-3.5696697223497487,1.0
36979,-9.796176240008814,260,-9.796176240008814,260,36979,0,36973,0.184865,2,0.15382375999118972,0.0,-9.950000000000003,0.0,0.0,-9.796176240008814,1.0
37115,-9.89100152952775,232,-9.89100152952775,232,37115,0,37109,0.185545,0,0.10899847047225288,0.0,-10.000000000000005,0.0,0.0,-9.89100152952775,1.0
37121,-24.930875121489763,229,-24.930875121489763,229,37121,0,37117,0.185585,3,0.06912487851018491,0.0,-24.999999999999947,0.0,0.0,-24.930875121489763,1.0
37285,-16.6692464025746,231,-16.6692464025746,231,37285,0,37279,0.186395,1,0.0807535974253779,0.0,-16.74999999999998,0.0,0.0,-16.6692464025746,1.0
38053,-9.244384289782982,258,-9.244384289782982,258,38053,0,38047,0.190235,2,0.1556157102170198,0.0,-9.4,0.0,0.0,-9.244384289782982,1.0
38171,-3.1484050511069914,269,-3.1484050511069914,269,38171,0,38165,0.190825,0,0.15159494889300804,0.0,-3.2999999999999994,0.0,0.0,-3.1484050511069914,1.0
38327,-1.6028023090362549,293,-1.6028023090362549,293,38327,0,38321,0.191605,3,0.14719769096374513,0.0,-1.75,0.0,0.0,-1.6028023090362549,1.0
38506,-12.506689498735504,321,-12.506689498735504,321,38506,0,38500,0.1925,1,0.24331050126448922,0.0,-12.749999999999993,0.0,0.0,-12.506689498735504,1.0
39030,-21.168745897127195,235,-21.168745897127195,235,39030,0,39024,0.19512,0,0.08125410287276559,0.0,-21.24999999999996,0.0,0.0,-21.168745897127195,1.0
39061,-7.096665078536328,279,-7.096665078536328,279,39061,0,39055,0.195275,2,0.2033349214636761,0.0,-7.300000000000004,0.0,0.0,-7.096665078536328,1.0
39716,-5.938455508024798,286,-5.938455508024798,286,39716,0,39710,0.19855,1,0.21154449197520378,0.0,-6.150000000000003,0.0,0.0,-5.938455508024798,1.0
40002,-12.98217080232371,248,-12.98217080232371,248,40002,0,39996,0.19998,0,0.11782919767628547,0.0,-13.099999999999994,0.0,0.0,-12.98217080232371,1.0
40095,0.00329242971669072,397,0.00329242971669072,397,40095,0,40089,0.200445,3,0.15329242971669071,0.0,-0.15000000000000002,0.0,0.0,0.00329242971669072,1.0
40163,0.051960902670155434,279,0.051960902670155434,279,40163,0,40157,0.200785,2,0.20196090267015543,0.0,-0.15000000000000002,0.0,0.0,0.051960902670155434,1.0
40698,-6.555054491374805,231,-6.555054491374805,231,40698,0,40692,0.20346,1,0.09494550862519638,0.0,-6.650000000000002,0.0,0.0,-6.555054491374805,1.0
41056,-11.312316136733346,269,-11.312316136733346,269,41056,0,41050,0.20525,0,0.18768386326665465,0.0,-11.5,0.0,0.0,-11.312316136733346,1.0
41082,-25.842908932893117,236,-25.842908932893117,236,41082,0,41077,0.205385,3,0.10709106710682745,0.0,-25.949999999999946,0.0,0.0,-25.842908932893117,1.0
41243,-23.843367744694543,239,-23.843367744694543,239,41243,0,41237,0.206185,2,0.10663225530541462,0.0,-23.949999999999957,0.0,0.0,-23.843367744694543,1.0
41606,-27.780951136132874,229,-27.780951136132874,229,41606,0,41600,0.208,1,0.06904886386705482,0.0,-27.84999999999993,0.0,0.0,-27.780951136132874,1.0
41981,-25.91891111000719,233,-25.91891111000719,233,41981,0,41975,0.209875,3,0.08108888999275538,0.0,-25.999999999999943,0.0,0.0,-25.91891111000719,1.0
42128,-10.484204458153771,268,-10.484204458153771,268,42128,0,42122,0.21061,0,0.16579554184623382,0.0,-10.650000000000004,0.0,0.0,-10.484204458153771,1.0
42152,-14.75454111348027,225,-14.75454111348027,225,42152,0,42147,0.210735,2,0.09545888651972231,0.0,-14.84999999999999,0.0,0.0,-14.75454111348027,1.0
42709,-19.984448212665022,255,-19.984448212665022,255,42709,0,42703,0.213515,1,0.1155517873349397,0.0,-20.099999999999962,0.0,0.0,-19.984448212665022,1.0
43124,-14.01137314434414,275,-14.01137314434414,275,43124,0,43118,0.21559,3,0.08862685565585676,0.0,-14.099999999999996,0.0,0.0,-14.01137314434414,1.0
43145,-13.99766149777951,253,-13.99766149777951,253,43145,0,43140,0.2157,2,0.10233850222048552,0.0,-14.099999999999994,0.0,0.0,-13.99766149777951,1.0
